STATE,STATE NAME,DATE,RHAV,RHMN,RHMX,RHRR,TAVG,TMIN,TMAX,TRR,STPOP,STLA,POPPCT,POPDEN,CRD,,
AL,Alabama,2012-10,69.89,43.56,91.78,0.69,63.30,51.38,75.28,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-11,68.56,40.22,91.56,0.75,52.46,38.43,66.47,0.53,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-12,73.56,52.89,91.33,0.52,51.99,41.53,62.48,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-01,74.00,53.56,92.22,0.52,50.70,41.29,60.12,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-02,67.89,44.44,91.67,0.70,48.54,38.56,58.52,0.41,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-03,59.44,36.78,84.78,0.81,51.01,39.20,62.82,0.46,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-04,67.11,43.56,91.00,0.71,63.40,52.06,74.76,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-05,68.33,46.22,90.67,0.65,69.52,58.80,80.28,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-06,72.89,50.22,93.00,0.59,79.37,69.81,88.88,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-07,78.67,58.44,93.89,0.45,78.86,70.67,87.02,0.21,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-08,78.33,56.78,94.56,0.48,79.09,70.27,87.89,0.22,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-09,72.44,47.44,92.56,0.62,76.42,65.83,87.00,0.28,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-10,,,,,66.28,55.17,77.41,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-11,63.89,38.67,89.33,0.79,52.21,40.88,63.53,0.43,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2013-12,75.67,53.78,92.22,0.51,48.92,39.04,58.79,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-01,59.11,34.22,85.89,0.87,38.00,25.88,50.16,0.64,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-02,70.67,48.67,91.56,0.61,48.03,37.01,59.10,0.46,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-03,66.67,43.44,90.33,0.70,53.43,41.30,65.56,0.45,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-04,68.56,44.11,92.00,0.70,63.63,52.21,75.03,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-05,69.78,45.00,92.78,0.68,71.49,60.34,82.69,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-06,75.56,51.67,94.22,0.56,78.89,69.44,88.31,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-07,70.33,46.44,92.89,0.66,78.93,68.64,89.21,0.26,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-08,71.22,44.67,92.78,0.68,81.02,69.94,92.09,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-09,73.89,48.89,93.11,0.60,77.53,67.22,87.83,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-10,70.89,42.44,93.89,0.73,66.24,53.62,78.89,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-11,65.00,39.89,89.00,0.76,49.58,37.23,61.90,0.50,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2014-12,76.67,55.89,93.78,0.49,50.27,40.51,60.03,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-01,66.78,43.67,88.67,0.67,44.26,33.54,54.98,0.48,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-02,,,,,41.86,31.04,52.71,0.52,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-03,73.11,51.22,92.67,0.57,58.70,48.18,69.26,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-04,72.44,50.44,93.44,0.59,66.82,56.96,76.72,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-05,69.67,45.33,92.11,0.67,73.23,62.01,84.42,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-06,71.89,47.89,93.00,0.63,80.33,70.11,90.54,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-07,73.67,49.44,94.00,0.60,83.02,72.98,93.09,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-08,72.67,48.78,92.89,0.61,80.32,70.09,90.57,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-09,74.11,49.78,93.33,0.59,75.68,65.41,85.92,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-10,70.78,46.89,92.22,0.64,66.16,54.86,77.46,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-11,74.56,53.00,92.00,0.52,60.33,50.59,70.08,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2015-12,78.00,56.11,94.33,0.49,57.51,48.08,66.96,0.33,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-01,69.11,45.89,89.00,0.62,43.87,33.92,53.83,0.45,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-02,62.56,39.56,86.33,0.75,50.59,39.71,61.49,0.43,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-03,67.11,43.56,90.44,0.70,60.52,49.51,71.49,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-04,63.89,39.78,91.33,0.81,64.88,53.37,76.37,0.35,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-05,66.22,42.33,91.67,0.74,71.52,60.23,82.80,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-06,68.78,44.11,91.67,0.69,80.50,69.46,91.54,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-07,72.89,47.78,93.00,0.62,83.19,72.97,93.43,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-08,75.67,51.67,93.56,0.55,82.92,73.51,92.30,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-09,66.56,39.11,91.22,0.78,79.84,67.77,91.96,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-10,58.56,30.78,86.67,0.95,70.28,55.56,85.01,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-11,58.56,31.00,87.11,0.96,58.87,44.26,73.49,0.50,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2016-12,71.67,49.44,92.00,0.59,51.18,41.26,61.11,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-01,72.44,51.33,91.22,0.55,53.52,43.47,63.51,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-02,68.89,43.67,92.78,0.71,56.53,45.28,67.82,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-03,62.78,38.22,88.89,0.81,59.12,47.62,70.60,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-04,66.67,40.11,92.44,0.79,68.58,56.26,80.90,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-05,71.78,47.44,94.78,0.66,71.09,59.94,82.21,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-06,77.56,55.33,95.33,0.52,77.33,68.59,86.10,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-07,77.00,52.78,95.67,0.56,82.12,72.56,91.64,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-08,78.33,55.78,95.44,0.51,80.14,71.48,88.80,0.22,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-09,74.33,48.44,94.00,0.61,74.84,64.18,85.52,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-10,73.00,47.56,93.11,0.62,66.87,55.87,77.89,0.33,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-11,74.89,49.56,95.00,0.61,56.79,44.88,68.69,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2017-12,75.11,54.44,91.89,0.50,47.06,37.60,56.52,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-01,63.22,40.00,85.00,0.71,41.69,30.70,52.69,0.53,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-02,77.89,57.00,94.89,0.49,59.09,49.56,68.64,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-03,65.67,42.22,90.89,0.74,55.99,44.62,67.30,0.41,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-04,65.44,40.67,92.44,0.79,60.80,48.38,73.20,0.41,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-05,72.00,46.00,94.00,0.67,76.01,64.98,87.02,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-06,74.56,50.11,95.00,0.60,80.68,70.41,90.92,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-07,76.00,52.00,95.00,0.57,82.00,72.44,91.52,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-08,76.00,51.67,94.78,0.57,81.00,71.23,90.79,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-09,76.56,52.11,94.56,0.55,80.93,71.33,90.54,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-10,73.33,48.78,94.22,0.62,68.80,58.28,79.36,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-11,79.11,56.89,95.44,0.49,51.32,41.22,61.41,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2018-12,78.33,56.78,94.33,0.48,49.90,41.38,58.44,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-01,71.56,49.89,91.11,0.58,46.64,36.92,56.37,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-02,74.00,53.33,92.44,0.53,57.10,47.83,66.34,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-03,61.00,40.00,86.56,0.76,55.61,44.42,66.81,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-04,68.11,42.56,92.56,0.73,65.13,52.70,77.60,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-05,68.89,44.44,92.67,0.70,75.80,64.42,87.18,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-06,70.33,46.89,92.22,0.64,79.79,69.53,90.04,0.26,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-07,72.63,48.50,93.00,0.61,81.92,71.87,91.94,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-08,73.89,47.89,94.56,0.63,82.08,71.23,92.93,0.26,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-09,64.44,37.22,90.44,0.83,81.98,68.87,95.09,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-10,72.75,48.75,93.00,0.61,68.64,57.87,79.44,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-11,69.25,43.50,91.50,0.69,52.07,39.09,65.06,0.50,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2019-12,73.22,50.11,92.22,0.58,52.24,42.72,61.74,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-01,71.11,48.22,91.22,0.60,50.61,40.98,60.23,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-02,73.00,50.89,92.11,0.56,51.76,41.61,61.93,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-03,72.44,51.22,92.33,0.57,64.13,54.36,73.87,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-04,64.78,40.22,91.00,0.78,63.02,51.21,74.81,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-05,67.22,44.89,90.78,0.68,70.29,58.84,81.72,0.33,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-06,73.00,50.67,92.56,0.57,78.31,68.51,88.12,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-07,77.44,53.67,95.33,0.54,82.26,72.78,91.72,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-08,76.22,52.33,94.78,0.56,81.56,72.00,91.12,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-09,74.89,53.44,92.33,0.52,75.39,66.30,84.47,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-10,75.22,51.56,93.89,0.56,67.96,57.14,78.71,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-11,70.33,46.44,92.56,0.66,59.08,47.27,70.84,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2020-12,72.11,47.56,92.67,0.63,46.96,34.83,59.12,0.52,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-01,70.56,48.00,91.11,0.61,46.87,37.18,56.58,0.41,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-02,71.56,51.00,90.33,0.55,47.41,36.90,57.93,0.44,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-03,66.33,44.00,90.22,0.70,60.10,48.46,71.76,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-04,63.22,38.33,89.78,0.81,62.59,50.50,74.64,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-05,66.78,43.78,90.44,0.70,70.49,59.51,81.43,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-06,76.22,55.11,93.56,0.50,78.28,69.14,87.40,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-07,80.00,58.00,95.44,0.47,80.54,71.88,89.21,0.22,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-08,79.11,57.78,94.89,0.47,80.96,72.34,89.59,0.21,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-09,78.33,55.11,95.22,0.51,75.17,65.66,84.70,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-10,77.33,52.11,95.33,0.56,68.36,58.21,78.50,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-11,68.67,40.78,93.11,0.76,52.84,39.88,65.78,0.49,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2021-12,79.78,58.22,95.44,0.47,57.83,47.14,68.51,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-01,67.78,47.00,89.00,0.62,44.30,32.89,55.78,0.52,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-02,66.44,41.44,89.78,0.73,50.80,38.50,63.09,0.48,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-03,62.33,37.56,89.56,0.83,58.04,45.32,70.78,0.44,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-04,63.89,40.44,90.56,0.78,63.91,51.91,75.90,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-05,70.11,46.89,92.22,0.65,74.91,64.23,85.59,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-06,69.11,45.56,92.11,0.67,81.66,70.58,92.70,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-07,75.33,51.89,94.33,0.56,83.21,73.66,92.73,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-08,79.11,56.33,95.56,0.50,80.54,71.79,89.24,0.22,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-09,70.89,45.89,93.56,0.67,74.99,63.68,86.30,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-10,67.33,40.22,92.89,0.78,62.51,48.41,76.59,0.45,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-11,70.22,47.11,92.56,0.65,56.36,45.09,67.63,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2022-12,73.67,53.89,91.44,0.51,50.51,41.48,59.54,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-01,73.00,48.56,93.67,0.62,52.33,41.98,62.68,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-02,70.78,48.78,92.33,0.62,57.61,47.20,68.04,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-03,63.22,39.89,89.67,0.79,59.34,47.74,70.98,0.39,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-04,66.00,41.44,91.33,0.76,64.21,52.88,75.53,0.35,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-05,70.67,48.78,91.78,0.61,71.82,61.40,82.23,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-06,71.11,47.00,93.56,0.65,78.33,67.61,89.06,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-07,76.22,52.33,95.11,0.56,82.38,72.43,92.30,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-08,73.67,48.78,94.11,0.62,83.16,72.39,93.96,0.26,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-09,69.56,44.11,92.44,0.69,77.23,65.80,88.67,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-10,66.00,41.33,90.89,0.75,66.42,54.16,78.68,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-11,68.44,45.00,90.33,0.66,55.62,43.83,67.41,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2023-12,69.33,44.11,91.22,0.68,49.90,38.69,61.10,0.45,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-01,71.22,49.67,92.00,0.59,44.03,33.64,54.42,0.47,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-02,64.22,39.78,90.11,0.78,53.64,41.18,66.10,0.46,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-03,67.89,43.89,92.67,0.72,59.07,47.89,70.22,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-04,66.89,44.22,91.44,0.71,65.46,54.22,76.71,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-05,71.67,48.67,93.56,0.63,75.47,65.44,85.47,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-06,68.56,45.22,91.44,0.67,80.78,70.00,91.53,0.27,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-07,76.78,53.89,94.67,0.53,82.58,73.42,91.73,0.22,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-08,66.13,41.88,90.13,0.73,82.88,71.28,94.48,0.28,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-09,72.63,50.25,92.13,0.58,77.28,68.21,86.35,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-10,66.67,38.00,92.00,0.81,68.16,54.51,81.81,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-11,74.67,51.89,94.00,0.56,61.81,51.67,71.96,0.33,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2024-12,70.33,46.78,91.78,0.64,49.66,38.89,60.42,0.43,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-01,,,,,41.09,29.59,52.59,0.56,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-02,,,,,53.17,41.26,65.06,0.45,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-03,,,,,58.90,45.92,71.89,0.44,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-04,,,,,67.79,56.18,79.41,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-05,,,,,72.44,63.50,81.40,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-06,,,,,79.23,69.70,88.74,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-07,,,,,83.20,73.56,92.79,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-08,,,,,79.56,70.12,88.99,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-09,,,,,77.36,65.09,89.58,0.32,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-10,,,,,66.56,54.86,78.29,0.35,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-11,,,,,56.52,43.34,69.66,0.47,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2025-12,,,,,48.70,37.76,59.67,0.45,4779736,50645,59.04,1278.50,11.23,,
AK,Alaska,2010-01,77.39,66.96,85.92,0.24,11.92,5.71,18.15,1.04,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-02,78.25,66.08,89.00,0.29,20.08,13.43,26.71,0.66,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-03,71.58,55.79,87.00,0.44,19.43,10.79,28.09,0.89,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-04,70.04,52.75,87.92,0.50,32.94,25.09,40.79,0.48,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-05,65.79,47.71,87.63,0.61,45.19,35.94,54.44,0.41,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-06,73.88,57.42,91.33,0.46,51.55,44.59,58.50,0.27,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-07,78.83,63.38,93.75,0.39,54.68,48.49,60.91,0.23,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-08,81.46,64.75,95.33,0.38,54.85,48.07,61.63,0.25,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-09,76.63,57.54,92.88,0.46,47.75,39.39,56.10,0.35,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-10,79.00,63.67,92.00,0.36,35.13,28.80,41.45,0.36,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-11,80.79,69.46,91.46,0.27,23.80,18.05,29.56,0.48,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2010-12,75.26,65.63,83.92,0.24,6.99,0.28,13.70,1.92,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2011-01,76.88,65.75,86.88,0.27,14.60,7.72,21.50,0.94,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2011-02,72.54,58.83,86.25,0.38,13.32,4.91,21.74,1.26,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2011-03,65.21,48.21,82.13,0.52,19.01,9.08,28.93,1.04,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2011-04,69.33,52.75,87.67,0.50,30.97,22.57,39.33,0.54,710231,570641,66.02,1802.60,11.69,,
AK,Alaska,2011-05,65.67,48.17,86.88,0.59,44.64,36.04,53.21,0.38,710231,570641,66.02,1802.60,11.69,,
